2,1,-1,2,2
3,1,-1,2,2
3,2,1,2,2
4,1,-1,2,2
4,2,1,2,2
4,3,-1,2,2
5,1,1,2,2
6,1,1,2,2
7,1,1,2,2
7,5,1,2,2
7,6,1,2,2
8,1,-1,2,2
8,2,1,2,2
8,3,1,2,2
8,4,1,2,2
9,1,-1,1,2
9,3,-1,1,2
10,3,-1,1,2
11,1,1,2,2
11,5,1,2,2
11,6,1,2,2
12,1,1,2,2
13,1,1,2,2
13,4,-1,2,2
14,1,-1,2,2
14,2,1,2,2
14,3,1,2,2
14,4,1,2,2
17,6,-1,2,2
17,7,1,2,2
18,1,1,2,2
18,2,-1,2,2
20,1,1,2,2
20,2,-1,2,2
22,1,1,2,2
22,2,1,2,2
26,24,1,1,1
26,25,1,1,1
28,3,1,1,2
28,24,1,1,1
28,25,-1,1,1
29,3,1,1,2
30,24,1,1,1
30,27,1,1,1
31,2,-1,1,2
31,9,1,1,1
32,1,-1,1,2
32,25,1,1,1
32,26,1,1,1
32,29,-1,1,1
33,3,1,1,2
33,9,1,1,1
33,15,1,1,1
33,16,1,1,1
33,19,-1,1,1
33,21,1,1,1
33,23,-1,1,1
33,24,-1,1,1
33,30,-1,1,1
33,31,1,1,1
33,32,1,1,1
34,9,1,1,1
34,10,1,1,1
34,14,-1,1,2
34,15,1,1,1
34,16,1,1,1
34,19,1,1,1
34,20,-1,1,2
34,21,1,1,1
34,23,1,1,1
34,24,1,1,1
34,27,-1,1,1
34,28,1,1,1
34,29,-1,1,1
34,30,-1,1,1
34,31,-1,1,1
34,32,1,1,1
34,33,1,1,1
