0,2,-1
0,7,1
0,9,1
0,10,-1
0,11,1
0,18,1
0,24,1
0,27,-1
1,3,1
1,4,-1
1,5,1
1,8,1
1,9,-1
1,10,1
1,11,-1
1,13,-1
1,14,-1
1,16,-1
1,19,-1
1,22,1
2,7,1
2,8,-1
2,13,1
2,18,1
2,20,-1
2,21,-1
2,26,1
2,27,-1
3,4,1
3,5,-1
3,6,1
3,7,1
3,10,-1
3,14,1
3,23,-1
4,5,1
4,6,-1
4,8,1
4,11,-1
4,19,-1
4,21,1
4,25,-1
4,26,-1
4,27,1
4,29,1
5,10,-1
5,18,1
5,21,-1
5,22,-1
5,26,1
5,29,-1
6,8,1
6,12,-1
6,17,-1
6,21,1
6,27,1
7,15,-1
7,18,-1
7,25,1
7,27,1
8,10,-1
8,13,1
8,14,1
8,19,1
8,22,-1
8,28,1
9,13,-1
9,17,-1
9,20,1
9,23,1
9,24,-1
10,11,1
10,12,-1
10,13,1
10,14,1
10,17,1
10,21,-1
10,23,-1
10,27,-1
11,12,1
11,13,-1
11,14,-1
11,19,-1
11,26,-1
11,27,1
11,28,-1
12,18,-1
12,19,1
13,14,-1
13,17,-1
13,19,-1
13,24,-1
13,25,1
13,26,-1
13,27,1
14,18,-1
14,19,-1
14,22,1
14,23,1
14,29,1
15,16,1
15,17,1
15,18,-1
15,23,1
15,27,1
15,28,-1
16,17,-1
16,19,-1
16,22,1
16,23,-1
16,24,-1
17,18,1
17,19,-1
18,29,1
19,20,1
19,21,1
19,28,-1
20,25,-1
20,29,1
21,27,-1
22,24,1
22,25,1
22,27,-1
22,28,1
22,29,-1
23,28,1
24,27,1
25,29,1
27,28,1
28,29,1
