0,4,1
0,6,-1
0,12,-1
0,13,-1
0,17,-1
0,18,1
0,25,1
0,27,1
1,7,1
1,17,1
1,26,1
2,8,1
2,10,1
2,11,-1
2,12,-1
2,14,-1
2,18,1
2,20,-1
2,22,-1
2,25,1
2,29,1
3,6,1
3,7,-1
3,12,-1
3,15,-1
3,19,1
3,21,-1
3,27,1
4,7,1
4,9,-1
4,11,1
4,14,1
4,15,1
4,18,1
4,19,-1
4,20,1
4,24,1
4,26,1
4,27,-1
4,28,1
5,9,-1
5,10,1
5,11,-1
5,15,1
5,18,1
5,19,-1
5,23,-1
5,24,1
5,28,1
6,21,1
6,22,1
6,24,-1
6,28,-1
6,29,-1
7,11,-1
7,13,-1
7,17,-1
7,20,-1
7,22,-1
7,27,1
8,9,1
8,14,1
8,21,-1
8,25,-1
8,28,1
8,29,-1
9,15,1
9,17,-1
9,19,1
9,26,1
10,11,1
10,14,1
10,15,1
10,16,1
10,19,-1
10,20,1
10,21,1
10,26,1
10,27,1
11,16,-1
11,19,-1
11,26,-1
11,27,1
11,29,1
12,18,1
12,21,-1
12,29,1
13,16,1
13,19,-1
13,20,1
13,26,1
13,28,1
14,16,-1
14,17,-1
14,18,1
14,19,1
14,23,-1
14,25,1
14,26,-1
14,29,1
15,19,1
15,21,-1
15,24,-1
15,27,1
15,29,1
16,17,1
16,18,-1
16,25,1
17,19,1
17,23,-1
17,25,1
17,29,1
18,22,1
18,25,-1
18,28,1
19,20,1
19,24,1
19,28,1
19,29,-1
20,22,-1
21,23,-1
21,27,-1
23,26,-1
23,29,1
24,27,1
24,28,-1
25,29,-1
26,29,1
27,28,1
27,29,1
