0,2,1
0,4,-1
0,6,1
0,9,-1
0,13,-1
0,14,-1
0,15,-1
0,18,-1
0,19,-1
0,24,-1
0,29,1
1,4,1
1,23,1
2,4,-1
2,10,1
2,12,1
2,14,-1
2,15,-1
2,16,1
2,18,-1
2,20,1
2,21,1
2,24,-1
2,27,1
3,4,1
3,7,-1
3,8,1
3,9,1
3,19,1
3,22,1
3,23,1
3,25,1
3,26,1
4,5,1
4,7,-1
4,12,-1
4,14,1
4,15,1
4,20,-1
4,29,-1
5,10,-1
5,11,-1
5,13,1
5,16,-1
5,19,1
5,23,1
5,27,-1
6,10,1
6,14,-1
6,15,-1
6,19,-1
6,23,-1
6,24,-1
6,26,-1
6,27,1
7,14,-1
7,21,1
7,24,-1
7,25,-1
7,26,-1
7,27,1
8,11,-1
8,13,1
8,15,1
8,19,1
8,20,-1
8,21,-1
8,23,1
8,24,1
9,10,-1
9,15,1
9,16,-1
9,18,1
9,20,-1
9,22,1
10,11,1
10,16,1
10,20,1
10,29,1
11,12,1
11,13,-1
11,15,-1
11,18,-1
11,24,-1
11,25,-1
12,18,-1
12,19,-1
12,22,-1
12,23,-1
13,14,1
13,15,1
13,17,1
13,20,-1
13,27,-1
13,28,1
14,15,1
14,19,1
14,21,-1
14,25,1
14,29,-1
15,19,1
15,24,1
15,26,1
15,28,1
15,29,-1
16,18,-1
16,21,1
16,24,-1
16,25,-1
16,28,-1
17,22,1
18,19,1
18,21,-1
18,22,1
18,24,1
19,23,1
19,25,1
19,26,1
19,28,1
20,22,-1
20,29,1
21,22,-1
21,24,-1
21,26,-1
22,24,1
22,25,1
22,28,1
23,24,1
25,28,1
26,29,-1
