0,1,-1
0,2,-1
0,4,-1
0,6,1
0,14,-1
0,17,1
0,21,1
0,22,-1
1,5,1
1,15,-1
1,19,1
1,25,1
1,29,-1
2,7,1
2,8,-1
2,11,1
2,13,-1
2,20,1
2,23,1
2,26,1
2,27,1
2,29,-1
3,4,-1
3,14,1
3,15,1
3,16,-1
3,17,1
3,18,-1
3,19,-1
3,28,1
3,29,1
4,5,1
4,9,1
4,11,1
4,12,-1
4,13,-1
4,18,1
4,21,-1
4,23,1
4,24,1
4,25,1
4,26,-1
5,7,1
5,9,-1
5,13,-1
5,16,-1
5,22,1
5,28,1
6,13,1
6,15,1
6,18,-1
6,20,1
6,22,-1
6,24,-1
6,26,-1
6,28,-1
7,8,-1
7,9,1
7,12,-1
7,17,-1
7,19,1
7,23,-1
7,27,1
8,11,-1
8,12,-1
8,14,-1
8,15,1
8,16,-1
8,23,-1
8,27,1
8,29,1
9,11,1
9,12,1
9,13,-1
9,14,1
9,15,-1
9,24,1
9,27,1
9,28,1
9,29,-1
10,12,-1
10,13,-1
10,21,-1
10,24,1
10,27,1
11,13,1
11,14,1
11,22,1
11,27,1
12,15,1
12,21,1
12,26,-1
12,29,1
13,16,-1
13,18,-1
13,23,-1
13,29,1
14,16,1
14,20,1
14,22,-1
14,29,-1
15,22,-1
15,28,-1
16,18,1
16,19,-1
16,24,1
16,28,1
17,21,1
17,22,-1
17,23,-1
17,24,-1
17,25,-1
17,28,-1
18,20,1
18,22,1
18,24,1
18,28,1
19,23,1
19,28,1
20,21,-1
20,22,1
20,28,1
22,28,1
23,24,1
23,29,-1
24,29,-1
25,26,1
25,27,1
25,28,1
28,29,-1
